Name,Source,Package
%DT,DIDT,VA FileMan
%DTC,DIDTC,VA FileMan
%INDEX,ZINDEX,Toolkit
%INDX1,ZINDX1,Toolkit
%INDX10,ZINDX10,Toolkit
%INDX11,ZINDX11,Toolkit
%INDX2,ZINDX2,Toolkit
%INDX3,ZINDX3,Toolkit
%INDX4,ZINDX4,Toolkit
%INDX5,ZINDX5,Toolkit
%INDX51,ZINDX51,Toolkit
%INDX52,ZINDX52,Toolkit
%INDX53,ZINDX53,Toolkit
%INDX6,ZINDX6,Toolkit
%INDX8,ZINDX8,Toolkit
%INDX9,ZINDX9,Toolkit
%RCR,DIRCR,VA FileMan
%ZIS,ZIS,Kernel
%ZIS1,ZIS1,Kernel
%ZIS2,ZIS2,Kernel
%ZIS3,ZIS3,Kernel
%ZIS5,ZIS5,Kernel
%ZIS6,ZIS6,Kernel
%ZIS7,ZIS7,Kernel
%ZISC,ZISC,Kernel
%ZISF,ZISF,Kernel
%ZISG2,ZISG2,Kernel
%ZISG3,ZISG3,Kernel
%ZISP,ZISP,Kernel
%ZISS,ZISS,Kernel
%ZISS1,ZISS1,Kernel
%ZISS2,ZISS2,Kernel
%ZISTCP,ZISTCP,Kernel
%ZISTCPS,ZISTCPS,Kernel
%ZISUTL,ZISUTL,Kernel
%ZOSVKSD,ZOSVKSD,Kernel
%ZTER,ZTER,Kernel
%ZTER1,ZTER1,Kernel
%ZTLOAD,ZTLOAD,Kernel
%ZTLOAD1,ZTLOAD1,Kernel
%ZTLOAD2,ZTLOAD2,Kernel
%ZTLOAD3,ZTLOAD3,Kernel
%ZTLOAD4,ZTLOAD4,Kernel
%ZTLOAD5,ZTLOAD5,Kernel
%ZTLOAD6,ZTLOAD6,Kernel
%ZTLOAD7,ZTLOAD7,Kernel
%ZTM,ZTM,Kernel
%ZTM0,ZTM0,Kernel
%ZTM1,ZTM1,Kernel
%ZTM2,ZTM2,Kernel
%ZTM3,ZTM3,Kernel
%ZTM4,ZTM4,Kernel
%ZTM5,ZTM5,Kernel
%ZTM6,ZTM6,Kernel
%ZTMS,ZTMS,Kernel
%ZTMS0,ZTMS0,Kernel
%ZTMS1,ZTMS1,Kernel
%ZTMS2,ZTMS2,Kernel
%ZTMS3,ZTMS3,Kernel
%ZTMS4,ZTMS4,Kernel
%ZTMS5,ZTMS5,Kernel
%ZTMS7,ZTMS7,Kernel
%ZTMSH,ZTMSH,Kernel
%ZTPP,ZTPP,Kernel
%ZTRDEL,ZTRDEL,Kernel
%BJ,,Mumps/Other
%CD,,Mumps/Cache
%D,,Mumps/Cache
%DH,,Mumps/GTM
%DM,,Mumps/Cache
%EDT,,Mumps/DSM
%FILE,,Mumps/Other
%G,,Mumps/Cache
%GXLINF1,,Mumps
%HL,,Mumps/MSM
%HOSTCMD,,Mumps/DTM
%LICENSE,,Mumps/Cache
%NSP,,Mumps/Cache
%PARTSIZ,,Mumps/MSM
%PMODE,,Mumps/Cache
%R,,Mumps/Cache
%RSEL,,Mumps/GTM
%SPAWN,,Mumps/External
%ST,,Mumps/Cache
%SY,,Mumps/DSM
%SYS,,Mumps/Other
%SYS.DATABASE,,Mumps/Other
%SYS.FILE,,Mumps/Other
%SYSROU,,Mumps/DSM
%SYSUTL,,Mumps/VMS
%T,,Mumps/Cache
%VOLDEF,,Mumps/DSM
%VOLTAB,,Mumps/DSM
%XECOPT,,Mumps/M/11+
%dos,,Mumps/DTM
%dsselect,, Mumps/DTM
%editor,,Mumps/DTM
%m,,Mumps/DTM
%mdslist,,Mumps/DTM
%mixinterp,,Mumps/DTM
%mjob,,Mumps/DTM
%mshell,,Mumps/DTM
%DATE,,Mumps/GTM
%GI,,Mumps/GTM
%HD,,Mumps/GTM
%RD,,Mumps/GTM
