"Name","Platform Dependent Name","Platform/OS","Package"
%XUCI,XUCIONT,DTM,Toolkit
,XUCIDTM,DSM-11,
,XUCIGTM,GT.M,
,XUCIIS2,ISM,
,XUCIMSM,MSM,
,XUCIMSQ,M/SQL,
,XUCIVXD,DSM/VAX
%ZIS4,ZIS4ONT,Cache,Kernel
,ZIS4DTM,DTM,
,ZIS4GTM,GT.M,
,ZIS4IS2,ISM,
,ZIS4MSM,MSM,
,ZIS4MSQ,M/SQL,
,ZIS4VXD,DSM/VAX,
%ZISF,ZISFONT,Cache,Kernel
,ZISFDTM,DTM,
,ZISFGTM,GT.M,
,ZISFIS2,ISM,
,ZISFMSM,MSM,
,ZISFMSQ,M/SQL,
,ZISFMVX,MSM/VAX,
,ZISFVXD,DSM/VAX,
%ZISH,ZISHONT,Cache,Kernel
,ZISHDTM,DTM,
,ZISHGTM,GT.M/VMS,
,ZISHGUX,GT.M/UNIX,
,ZISHMSM,MSM/Non-UNIX,
,ZISHMSMU,MSM For Unix,
,ZISHMSU,MSM/UNIX,
,ZISHVXD,DSM/VAX,
%ZOSV,ZOSVONT,OpenM,Kernel
,ZOSVDTM,DTM,
,ZOSVVXD,DSM/VAX,
,ZOSVMSM,MSM,
,ZOSVGTM,GT.M,
,ZOSVGUX,GT.M/UNIX
,ZOSVMSQ,M/SQL,
,ZOSVIS2,ISM,
%ZOSV1,ZOSV1DTM,DTM,Kernel
%ZOSV2,ZOSV2GTM,GT.M,Kernel
,ZOSV2MSM,MSM,
,ZOSV2VXD,DSM/VAX,
%ZOSVKR,ZOSVKRO,OpenM,Kernel
,ZOSVKRV,DSM,
%ZOSVKSE,ZOSVKSOE,Cache,Kernel
%ZOSVKSS,ZOSVKSOS,Cache,Kernel
%ZTBKC1,ZTBKCONT,OpenM,Kernel
,ZTBKCDTM,DTM,
,ZTBKCMSM,MSM,
,ZTBKCMSQ,M/SQL,
,ZTBKCVXD,DSM/VAX,
